Country Name,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
,sd Y,sd TB Y,sd C Y,sd I Y,sd N Y,sd TFP Y,sd pc Y,country cat
Albania,0.08384,10.34743,0.87306,4.38374,0.51134,,5.01081,1.00000
Argentina,0.06871,3.02560,1.13687,2.53333,0.36357,0.70397,5.01081,1.00000
Australia,0.01290,0.98860,1.06542,3.92372,1.18148,0.79451,9.41588,2.00000
Austria,0.01433,0.74746,0.93394,2.83353,0.54934,0.62817,9.41588,2.00000
Bangladesh,0.00829,0.81418,2.73338,3.07998,1.23788,,5.01081,1.00000
Belgium,0.01565,0.81829,0.84349,4.00240,0.62493,0.71408,9.41588,2.00000
Benin,0.02100,2.95351,1.87834,7.30187,0.21520,1.04012,5.01081,1.00000
Bolivia,0.01413,3.36188,2.35337,8.59074,0.82857,0.99737,5.01081,1.00000
Brazil,0.03742,1.55331,1.12884,3.03781,0.65523,0.83280,5.01081,1.00000
Burkina Faso,0.02257,1.90532,2.60950,4.71237,0.46760,1.21918,5.01081,1.00000
Cameroon,0.05562,2.04515,1.05459,3.62683,0.12954,0.91820,5.01081,1.00000
Canada,0.02130,1.10304,0.80433,2.52696,0.82430,0.55674,9.41588,2.00000
Central African Republic,0.06893,2.55727,0.96874,3.52599,0.36914,1.01104,5.01081,1.00000
Chile,0.05091,2.95325,1.39028,2.38050,0.47345,0.88921,5.01081,1.00000
Colombia,0.02344,2.49324,1.10797,4.75240,0.76706,0.65318,5.01081,1.00000
"Congo, Rep.",0.06620,10.86723,2.62661,3.96729,0.05724,,5.01081,1.00000
Costa Rica,0.03273,2.42426,1.50629,2.58199,0.39679,0.79055,5.01081,1.00000
Cote d'Ivoire,0.04604,3.90722,1.15450,3.94145,0.10908,0.98753,5.01081,1.00000
Denmark,0.01914,1.23432,1.16405,4.20089,0.74556,0.68820,9.41588,2.00000
Dominican Republic,0.03243,2.62855,1.05203,4.31812,0.47072,0.85880,5.01081,1.00000
Ecuador,0.02889,2.83180,1.52017,3.09745,0.65116,1.19589,5.01081,1.00000
El Salvador,0.04782,2.62553,0.87716,3.05929,0.45965,,5.01081,1.00000
Finland,0.03407,1.57943,0.62011,2.92806,0.87216,0.53682,9.41588,2.00000
France,0.01460,0.66152,0.76182,3.05326,0.60439,0.74198,9.41588,2.00000
Germany,0.01712,0.77302,0.80308,2.87078,0.80029,0.96483,9.41588,2.00000
Ghana,0.03758,2.81200,1.38329,5.76484,0.45519,,5.01081,1.00000
Greece,0.03953,1.23549,0.89007,3.17509,0.60089,0.74494,9.41588,2.00000
Guatemala,0.02713,1.96968,1.05127,4.65336,0.76625,0.82067,5.01081,1.00000
Honduras,0.03028,3.16179,0.83635,4.56720,1.50884,1.20252,5.01081,1.00000
India,0.02064,0.86767,1.01592,2.58041,0.79383,1.14903,5.01081,1.00000
Indonesia,0.03547,2.54247,1.21978,2.73942,0.44072,1.24749,5.01081,1.00000
"Iran, Islamic Rep.",0.09891,6.20626,0.67520,1.80008,0.21330,0.89070,5.01081,1.00000
Ireland,0.04768,3.00634,0.65013,3.16080,0.55972,0.43081,9.41588,2.00000
Israel,0.02047,2.12884,1.40256,4.18642,0.82399,0.94961,9.41588,2.00000
Italy,0.01723,1.17811,0.95492,2.80827,0.83708,0.77273,9.41588,2.00000
Jamaica,0.04014,3.75259,1.33599,3.33578,0.63260,0.74003,5.01081,1.00000
Japan,0.01942,0.93309,0.70555,2.68630,0.50145,0.79179,9.41588,2.00000
Jordan,0.05752,5.21753,1.32490,2.83168,0.45723,0.90789,5.01081,1.00000
Kenya,0.03457,2.95365,1.65365,2.69067,0.28502,0.61609,5.01081,1.00000
"Korea, Rep.",0.02894,2.79446,1.02148,2.79452,0.67737,0.80079,5.01081,1.00000
Lebanon,0.07064,3.18365,1.05113,2.79070,0.26115,,5.01081,1.00000
Madagascar,0.03356,3.91141,0.93512,5.85659,0.18897,,5.01081,1.00000
Malaysia,0.03529,5.01576,1.35509,4.34555,0.48585,0.93151,5.01081,1.00000
Mexico,0.03289,2.06085,1.09824,2.97149,0.39357,0.77077,5.01081,1.00000
Morocco,0.02691,2.98179,1.24034,4.25113,1.94664,0.62632,5.01081,1.00000
Namibia,0.02337,5.79860,3.51776,5.75706,2.41914,1.59887,5.01081,1.00000
Nepal,0.01678,1.40911,1.46338,3.66646,0.83399,,5.01081,1.00000
Netherlands,0.01835,1.09609,1.19761,2.92828,0.73879,0.73753,9.41588,2.00000
New Zealand,0.02670,2.15316,1.00778,3.59297,0.79014,0.83346,9.41588,2.00000
Niger,0.03978,3.33077,0.93643,4.49669,0.16348,0.85393,5.01081,1.00000
Nigeria,0.05767,6.86729,1.75968,3.41489,0.33880,0.93635,5.01081,1.00000
Norway,0.01736,3.40196,2.09328,4.74843,1.05106,0.85438,9.41588,2.00000
Pakistan,0.02065,1.85144,1.45331,4.29578,0.82426,,5.01081,1.00000
Panama,0.04882,2.86454,0.96670,5.10928,0.46481,0.77811,5.01081,1.00000
Paraguay,0.03497,3.27955,1.60836,2.82447,,,5.01081,1.00000
Peru,0.05241,3.20047,1.16991,2.82593,0.24080,0.87657,5.01081,1.00000
Philippines,0.03353,2.41797,0.74109,3.84789,0.67888,1.09636,5.01081,1.00000
Portugal,0.03407,2.01794,1.04649,2.76863,0.50590,0.72746,5.01081,1.00000
Rwanda,0.08524,6.29454,0.68768,1.74429,0.18378,1.19177,5.01081,1.00000
Senegal,0.02544,2.60327,1.13380,3.53650,0.43940,1.12956,5.01081,1.00000
South Africa,0.02097,2.39626,1.24838,3.79892,0.84650,0.96802,5.01081,1.00000
Spain,0.02866,1.55522,0.90972,3.29309,1.12129,0.28419,9.41588,2.00000
Sri Lanka,0.02093,3.38513,1.26277,6.37357,1.15828,1.37422,5.01081,1.00000
Sudan,0.03689,3.18174,1.74282,5.35895,0.45070,1.04606,5.01081,1.00000
Sweden,0.02393,1.01343,0.74649,3.25129,0.85279,0.69264,9.41588,2.00000
Switzerland,0.01854,1.07014,0.56485,2.78294,0.70153,0.67461,9.41588,2.00000
Tanzania,0.01824,3.36164,1.41402,6.32815,0.48580,1.26117,5.01081,1.00000
Thailand,0.04194,3.64508,0.88210,3.50005,0.92435,0.78107,5.01081,1.00000
Togo,0.05302,2.66343,1.31310,3.24441,0.05968,0.88773,5.01081,1.00000
Turkey,0.03915,2.03535,1.29798,3.51013,0.47941,0.89547,5.01081,1.00000
Uganda,0.02933,2.43536,1.52072,2.82446,1.08130,,5.01081,1.00000
United Kingdom,0.02313,1.14408,1.13516,3.00112,0.72262,0.63926,9.41588,2.00000
Uruguay,0.05632,2.10862,1.46848,4.52413,0.46024,0.78485,5.01081,1.00000
"Venezuela, RB",0.05615,6.59925,1.40874,3.59414,0.37297,0.84169,5.01081,1.00000
"Yemen, Rep.",0.11825,5.97399,1.00902,2.86552,0.10856,,5.01081,1.00000
Zimbabwe,0.08503,4.11601,1.05004,5.47335,0.29925,1.19279,5.01081,1.00000

